,join_col,VTD
1710,McBride,5058
1711,Conner,5059
1712,Lightfoot,5060
1713,Nankipoo,5062
1715,Henning,5064
1716,2-1 Loretto Civic Center,5151
1717,4-1 Crossroads Fire Hall,5152
1718,3-1 South East Lawrence,5153
1719,1-2 West Loretto,5154
1720,5-1 Leoma School Gym,5155
1721,5-1 Whitehall Elementary School,5653
1722,5-2 Macedonia Baptist Church,5654
1723,5-3 North Parkway School,5655
1724,7-1 UT Agricultural Experiment Station,5656
1725,7-2 TN Technology Center,5657
1726,7-3 Denmark West Community Center,5658
1727,7-4 Mercer Fire Station,5659
1728,6-3 Malesus Community Center,5660
1729,6-4 Medon City Hall,5661
1730,6-2 South Elementary School,5662
1731,8-5 Lesters Fire Station,5663
1732,8-4 East Union Ruritan Center,5664
1733,8-3 Mifflin Road Fire Station,5665
1734,8-1 Beech Bluff Baptist Church,5666
1735,8-2 Browns United Methodist Church,5667
1740,5-1 Greenbrier High School,7555
1741,7-1 Jo Byrns Elementary School,7559
1742,3-1 Ebenezer Baptist Church,7560
1743,8-2 H.A.T.S,7561
1744,8-1 Krisle School,7562
1745,8-3 Owens Chapel Fellowship Hall,7563
1746,9-1 Robertson County Fair Assoc.,7564
1747,10-1 South Haven Christian School,7565
1748,11-2 Heads Free Will Baptist Church,7566
1749,11-1 Westside School,7567
1750,5-2 LaVergne Middle School,7660
1751,9-1 Stewarts Creek Elementary School,7669
1752,20-1 Blackman United Methodist Church,7693
1753,8-1 Rockvale Middle School,7665
1754,8-3 Lebanon Campground Church,7667
1755,8-4 Crescent Church of Christ,7668
1756,Gates,5052
1757,10-2 North East School,5668
1758,3-1 Madison Co Board of Ed.,5677
1759,3-3 Jackson Center for Ind. Living,5678
1760,1B,6479
1761,12-1 Bransford School,7568
1762,12-2 Smyrna Elementary School,7676
1763,11-1 Smyrna Middle School,7673
1766,6-2 West Point,5156
1767,8-1 New Prospect,5158
1768,9-2 Mars Hill,5159
1770,3-2 Old Bells Fire Station,5679
1772,9-2 Pope Elementary School,5681
1773,6-1 South Side High School,5682
1776,10-2 Lifepoint Church,7672
1777,19-1 Creekmont General Baptist Church,7691
1778,1-1 St. Joseph,5170
1779,7-1 Lawrenceburg Public,5157
1781,10-1 Spring Creek Fire Station #7,5683
1782,20B,6477
1785,21A,6474
1788,19,6471
1789,11-2 StewartsboroElementary School,7674
1790,9-2 Browns Chapel Elementary School,7670
1791,12-2 Henryville Community Club,5162
1795,3-2 Centerpoint,5169
1798,18-1 E.O. Coffman,5168
1799,6-1 Iron City,5171
1803,17,6466
1804,17,4876
1810,1-1 LaVergne Lake Elementary School,7651
1811,5-1 Cedar Grove Elementary School,7659
1812,5-2 Gandy,5172
1813,9-1 Ethridge,5173
1814,12-1 Prince Tree Service,5174
1819,20A,6469
1821,3 Moore County Building,6553
1822,2 Moore County High School,6551
1823,4 Elementary School,6552
1824,Chestnut Ridge 4-3,6655
1825,10-1 Rock Springs Elementary School,7671
1826,6-2 Christiana Middle School,7662
1827,6-1 Whitworth-Buchannan Middle School,7661
1828,4-1 Kittrell Elementary School,7656
1829,2-3 Milton Fire Station,7652
1830,2-2 Wilson Elementary School,7653
1831,16-3 Lane Agri-Park,7685
1833,Haletown-Ladds,5753
1836,Waldens Ridge,5765
1840,Powells Crossroads,5760
1842,Whitwell Mtn. FD,5767
1843,Recreation Center,5855
1844,Recreation Center,5357
1845,Lewisburg Gas Dept.,5858
1846,Belfast,5853
1847,Henry Horton State Park,5851
1848,Cornersville,5852
1849,West Hills Elementary,5856
1850,Hardison School,5857
1851,Lancing 4-1,6658
1852,Petros 6-2,6653
1853,Oakdale 2-3,6662
1854,Coalfield 1-1,6651
1855,Oakdale High 2-1,6652
1856,Kelly's 6-1,6660
1857,Deer Lodge 4-2,6661
1858,Sunbright 5-1,6656
1859,Mossy Grove 2-2,6657
1860,Wartburg 3-1,6654
1861,Burrville 5-2,6659
1862,1-1 SOUTH FULTON,6751
1863,7-2 OBION CO. LIBRARY,6752
1864,2-4 WOODLAND,6753
1865,5-4 HORNBEAK,6754
1866,5-5 SAMBURG,6755
1867,2-1 EDDIE COX SR. CENTER,6756
1868,3-2 KENTON,6757
1869,6-2 OBION,6758
1870,5-2 CLOVERDALE,6759
1871,16-1 Central Magnet School,7683
1872,14-1 Siegel Middle School,7679
1873,Elora Community Center,5366
1874,Flintville Fire Hall,5367
1875,Kelso Cumberland Presbyterian Church,5368
1876,Lincoln Community Center,5369
1877,South Lincoln,5370
1878,Fayetteville CPC,5363
1879,Taft Baptist Church,5353
1880,Molino,5351
1881,Boonshill Community Center,5352
1882,Blanche,5354
1883,Howell,5355
1884,Petersburg,5356
1885,Calvary Baptist Fellowship Hall,5361
1886,Belleville Community Center,5364
1887,Mulberry Fire Hall,5365
1888,Chapel Hill,5854
1889,McKnight Center,5859
1890,Neapolis,5971
1891,Spring Hill,5951
1892,Theta,5952
1893,Santa Fe,5954
1894,St. Catherine,5956
1895,CP Church,5957
1896,Highland,5959
1897,6-1 TROY SENIOR CENTER,6760
1898,3-4 RIVES,6761
1899,4-1 FAIR GROUNDS,6762
1900,5 Fairgrounds,6855
1901,3 Wilson,6858
1903,5 Hilham,6851
1904,2 Allons,6852
1905,3 Poteet,6856
1906,4 Rickman,6857
1907,2 Monroe,6854
1908,3 Rushing Springs,6859
1909,501 Perry Co. Courthouse,6955
1910,102 Marsh Creek,6958
1911,301 Coon Creek,6953
1912,201 Pineview,6951
1913,403 Lobelville Elem. School,6952
1914,202 Pope,6960
1915,14-2 Siegel Elementary School,7680
1916,15-1 John Pittard Elementary,7681
1917,Maranatha,5359
1918,FNB Community Room,5360
1924,First Family,5960
1925,Mt. Pleasant,5961
1926,Hampshire,5962
1927,Pleasant Heights,5964
1928,Rally Hill,5965
1929,Bear Creek,5966
1933,Millington 1,8260
1934,Millington 2,8261
1946,ARL-01,8051
1947,ARL-02,8052
1948,Lakeland 1,8096
1949,Lakeland 2,8097
1950,Brunswick 1,8065
1964,Brunswick 2,8066
1976,501 First Baptist Gallatin,8609
1977,404 Union Elementary,8610
1978,401 Howard Elementary School,8611
1979,1201 Oakmont Elementary,8612
1987,1001 Walton Ferry Elementary,8621
1988,701 Whitten Elementary,8622
1989,1102 Church of the Nazarene,8623
1990,1101 Beech High School Annex,8624
1991,1103 Millersville Community Center,8625
1992,1203 White House Middle School,8626
1993,403 Cottontown Fire Hall,8627
1994,703 Long Hollow Baptist Church,8628
1995,802 Hawkins Middle School,8631
2005,101 Westmoreland Middle,8632
2006,1002 Merrol Hyde Magnet School,8633
2007,301 Gallatin Civic Center,8635
2008,601 Vol State College,8601
2020,203 Wiseman Elementary,8613
2021,202 Portland High School,8614
2022,602 Gallatin Sr. High School,8618
2023,801 Brown Elementary,8619
2024,902 Indian Lake Elementary,8620
2026,Cordova 3,8076
2035,32,4872
2048,Memphis 47-1,8142
2049,3-2 Old Jefferson Church of Christ,7655
2050,12-1 TN National Guard Armory,7675
2060,4-5 Bud's Tire,7700
2063,5-1 Pine Hill,7760
2077,Collierville 6,8073
2078,Collierville 4,8071
