join_col,G16PRERTru_y,G16PREDCli_y,G16PREIDeL_y,G16PRELJoh_y
Airport 1-1,300,57,0,7
23 Westview,300,215,3,13
9-2 Hydro,301,42,1,3
Midway,301,55,1,6
3-2 Brock,288,60,1,3
2-1 Auburntown,302,88,0,5
Grassy Fork,303,60,0,3
Rocky Top,303,91,4,14
2-Apr,304,78,0,8
2-Sep,296,628,1,22
5-1 Linden,305,105,2,9
3 Celina,305,220,0,4
Highland 2-2,305,221,2,14
1-Sep,306,84,2,2
Erin Elementary,306,110,3,14
038 Northwoods 2,306,136,0,11
34-2,298,212,2,45
Memphis 36-1,306,1333,4,54
7-1 Buffalo River,307,46,0,5
3-2 Decaturville,307,98,1,6
28-2,299,1119,3,25
Lightfoot 5,308,71,0,2
6 Grassy Cove,309,57,1,9
2-3 Oakdale,309,58,1,11
043 St. Elmo 1,309,683,4,93
26-1,301,982,2,25
Southside 3-2,310,60,2,8
2-Jan,302,157,2,12
East View 5-2,311,53,0,7
3 Watterson,311,54,0,3
1-May,311,92,1,4
5-1 Parsons,311,106,1,7
5-2 Sewanee,311,827,2,25
Tennessee Ridge,312,116,0,15
025 Hixson 1,313,203,2,33
40 Embreeville,314,51,0,7
Range,314,66,1,11
Arlington,314,133,1,19
7-13 Scotts Hill,318,48,1,3
3-2 Poteet,318,118,1,3
Houston Co Middle,318,132,1,10
Forest Hills 02,318,583,1,13
4-2 Shawnettee,319,30,0,1
5-1 City Park,319,48,0,4
Walkers 2-2,319,53,0,3
Memphis 86,319,2060,8,25
Nankipoo 7,320,53,0,6
3 Dorton,321,52,0,8
3-2 Old Bells Rd #10,321,91,1,6
2-Jul,313,878,3,35
30-2,314,610,3,29
9,323,106,0,11
Silerton,324,50,1,6
5-1 Mt. Pleasant,324,101,0,7
1-Aug,324,379,1,6
Oak Ridge,324,521,0,33
Memphis 58-4,325,1337,6,24
57 Hills,326,62,1,10
4-2 Butlers Landing,327,96,2,12
1-Mar,327,97,0,13
Hollow Rock,327,107,0,6
Memphis 28,327,881,5,46
Finger 1-2,328,42,0,8
Middlesettlements,328,78,1,8
Ingleside,328,157,2,16
06 Green School,328,870,0,79
6-1 Parsons,329,70,1,6
2-Mar,329,71,1,3
1-Aug,329,77,1,3
3-2 Springville,330,69,1,3
077 Red Bank 2,330,279,1,34
4-1 Belvidere,331,82,0,11
4 Electric Co-op,331,128,1,12
Griffins Chapel,331,130,1,5
3-1 Brayton,332,36,0,5
3,332,112,1,2
2-Jun,323,1599,2,103
Mentor,333,139,0,9
5F Dry Valley,333,143,1,14
6A Martin,333,291,2,13
Stewart,334,112,0,11
4-Jul,325,1123,1,76
28-3,326,754,2,26
2 St Paul,336,137,2,20
35-2,327,176,0,11
3-Dec,336,357,4,24
35 Limestone,337,66,1,12
Coalmont,337,81,0,8
Foster Falls,339,69,0,6
01-1 St. Joseph,339,98,1,10
6-Jul,330,687,4,35
7th,340,54,0,6
2-Jun,340,93,0,9
Williston,340,136,0,8
Chanute 3-1,341,53,0,6
11-2 Heads,338,77,0,10
Armathwaite,344,47,0,3
1-1 Alder Springs,345,65,1,6
2-1 Elgin,345,68,2,3
Martin Luther King,346,507,3,22
Whites 7-1,348,64,0,5
1st,348,66,1,7
13-1,339,808,4,46
1,350,47,0,2
Gates 7,350,197,0,5
Woodland,350,286,6,28
6-Oct,341,430,1,26
10-2 Whites,351,67,0,8
184 Bakewell 1,352,71,1,4
1-2 Pinewood,352,92,2,12
3-10 Fire Sta #10,352,136,0,7
175 Airport,352,628,3,29
09-2 Mars Hill,353,67,2,5
Piney,353,101,1,10
12-2 Lucky,353,125,1,15
19 CD Stamps Center,353,212,2,11
33-4,344,578,2,20
10-1 Spring Creek,354,62,0,1
1-2 Molino,354,79,0,8
9-1 Graysville,354,94,2,12
16-2 Kenton,354,104,2,4
1-Apr,354,426,3,9
Rhodes 6-2,355,38,0,5
019 East Lake,355,568,1,21
3-2 Crazy Horse,356,49,0,4
Cerro Gordo 6-1,356,71,1,1
17 Christenberry,356,512,3,26
5-5 Samburg,357,66,0,3
1-Jan,357,193,2,12
4-Jun,348,1351,4,97
8-2 Brazil,358,68,0,8
2-2 Howell,358,92,0,14
122 Collegedale 2,358,198,0,73
49 Bearden Elementary,358,770,6,71
09-1 Ethridge,359,78,1,3
1 Courthouse,359,102,2,10
Stantonville 7-2,360,63,0,8
2-2 Goin,361,68,2,9
6-4 Gibson,361,76,0,12
144 Soddy Daisy 3,361,102,0,9
5-1 Big Cypress,362,39,0,1
Flag Pond,362,70,1,6
6-2 South,362,91,1,7
