G16PRERTru_x,G16PREDCli_x,G16PREIDeL_x,G16PRELJoh_x,join_col
270,82,2,8,4 McLemoresville0810
270,208,1,16,7A GCHS Giles County High School2863
271,58,2,17,05-2 Middle School4207
271,73,0,11,Dutch Valley0008
271,82,0,6,Oak Hill7052
271,95,0,6,3-14504
272,130,0,7,1-14507
275,72,2,14,08-3 Bonner Church of Christ9213
275,571,0,27,29-11932
275,2130,2,17,Forest Hills 38084
276,74,4,19,Cherokee7455
277,80,3,8,4-29805
277,86,3,5,5 Saltillo3718
277,91,2,19,05-3 Shady Grove4208
278,530,2,30,30-11936
279,312,2,6,Armory5362
280,42,0,6,1 Lavinia0816
280,96,0,5,3-3 Walnut Grove2655
280,489,3,8,4-2 Andrew Jackson School5674
283,59,3,3,1-2 Grandview7352
284,106,0,5,22 McKenzie City hall0818
285,34,1,3,2nd3501
285,53,1,4,2-1 Liberty2152
285,56,0,11,Mt.Crest0309
285,183,1,21,17 National Guard Armory1517
286,108,0,4,Spencer 19104
286,759,4,72,19-41893
287,50,1,8,1 McNairy6154
287,88,1,4,Shellmound5763
288,90,2,3,Burrville 5-26659
290,62,0,4,Lacy3606
291,43,0,3,Hornsby3609
291,64,0,15,Meadowview3426
291,155,0,4,McBride5058
291,1029,2,58,7-11831
292,89,1,9,Spencer 59105
292,144,1,3,Conner5059
292,485,1,32,184877
294,108,0,4,601 Lobelville City Hall6956
295,92,1,2,2-3 Snows Hill2161
296,34,2,3,5-2 CLOVERDALE6759
296,36,0,6,Luttrell5451
296,65,0,6,1-5 Sweet Lips1104
296,272,2,9,Ripley 25054
297,24,0,5,5 Lutts9405
297,62,1,13,39 Currie2778
297,68,0,5,4-14511
297,94,0,7,11-1 Midway Community Center9218
297,118,0,6,5-24505
297,3280,9,33,1-31803
298,50,0,0,37 Good Luck2776
298,894,1,13,2-1 Alexander Elementary School5671
299,52,1,6,Belleville Community Center5364
299,278,2,28,Highland View0014
300,32,1,5,3 Leapwood6160
300,57,0,7,1 Armory3702
300,215,3,13,234859
301,42,1,3,9-2 Hydro2059
301,55,1,6,Midway7454
302,65,1,3,3-3 Brock Community Center9001
302,88,0,5,Auburntown0706
303,60,0,3,Grassy Fork1408
303,91,4,14,Lake City0015
304,78,0,8,4-24512
304,645,1,23,9-21842
305,105,2,9,501 Perry Co. Courthouse6955
305,220,0,4,3 Celina1305
305,221,2,14,Highland5959
306,84,2,2,9-15259
306,110,3,14,Erin Elementary School4305
306,136,0,11,Northwoods 23331
306,218,2,46,34-21954
306,1333,4,54,Memphis 36-18122
307,46,0,5,7 Buffalo River Fire Dept.9410
307,98,1,6,3rd Decaturville2053
307,1149,3,26,28-21930
308,71,0,2,Lightfoot5060
309,57,1,9,Grassy Cove1710
309,58,1,11,Oakdale 2-36662
309,683,4,93,St Elmo 13407
309,1009,2,26,26-11922
310,60,2,8,3 Southside3713
310,161,2,12,1-21802
311,53,0,7,5 East View6164
311,54,0,3,3 Watterson3819
311,92,1,4,5-14506
311,106,1,7,5th Parsons2055
311,827,2,25,5-2 Sewanee2660
312,116,0,15,Armory4301
313,203,2,33,Hixson 13418
314,51,0,7,40 Embreeville9304
314,66,1,11,Range0903
314,133,1,19,Arlington Sr. Citizens Cntr4302
318,48,1,3,7-3 Scotts Hill4009
318,118,1,3,3 Poteet6856
318,132,1,10,Houston Co. Middle School4306
318,583,1,13,Forest Hills 28083
319,30,0,1,4 Shawnatee9403
319,48,0,4,5-1 Pine Hill7760
319,53,0,3,2 Walkers3701
319,2060,8,25,Memphis 868229
320,53,0,6,Nankipoo5062
321,52,0,8,Dorton1707
321,91,1,6,3-2 Old Bells Fire Station5679
321,902,3,36,7-21832
322,626,3,30,30-21937
323,106,0,11,91604
324,50,1,6,Silerton3607
324,101,0,7,05-1 Mt. Pleasant4206
324,379,1,6,08 Douglas Community Center3913
324,521,0,33,Oak Ridge City Hall0021
325,1337,6,24,Memphis 58-48159
326,62,1,10,574810
327,96,2,12,4-2 Butlers Landing1306
327,97,0,13,3-1 Calvary Chapel2258
327,107,0,6,13 Hollow Rock0815
327,881,5,46,Memphis 288114
328,42,0,8,1 Finger6159
328,78,1,8,Middlesettlements0407
328,157,2,16,09 Ingleside School6055
328,870,0,79,64864
329,70,1,6,6th Parsons2056
329,71,1,3,3-24510
329,77,1,3,8-15258
330,69,1,3,3-2 Springville4111
330,279,1,34,Red Bank 23414
331,82,0,11,4-1 Belvidere2656
331,128,1,12,4 Electric Co-op7858
331,130,1,5,Griffin Chapel Church4307
332,36,0,5,Brayton0302
332,112,1,2,31609
332,1642,2,105,6-21827
333,139,0,9,Mentor0409
333,143,1,14,05F Dry Valley7274
333,291,2,13,6A MMC Martin Methodist College2861
334,112,0,11,Stewart Community Center4304
334,1153,1,78,7-41834
335,774,2,27,28-31931
336,137,2,20,02 Saint Paul United Methodist Church1502
336,181,0,11,35-21959
336,357,4,24,12-3 LaVergne High School7699
337,66,1,12,35 Limestone9305
337,81,0,8,Coalmont3160
339,69,0,6,Foster Falls5752
339,98,1,10,1-1 St. Joseph5170
339,706,4,36,7-61836
340,54,0,6,7th3507
340,93,0,9,6-24503
340,136,0,8,12 Williston2458
341,53,0,6,Chanute7053
343,79,0,10,11-2 Heads Free Will Baptist Church7566
344,47,0,3,Armathwaite2551
345,65,1,6,Alder Springs0616
345,68,2,3,2-1 Elgin7758
346,507,3,22,Martin Luther King0411
348,64,0,5,7 Whites3709
348,66,1,7,1st3504
348,830,4,47,13-11859
350,47,0,2,11602
350,197,0,5,Gates5052
350,286,6,28,Woodland0027
350,442,1,27,10-61849
351,67,0,8,Whites 27961
352,71,1,4,Bakewell 13343
352,92,2,12,01-2 Pinewood4201
352,136,0,7,3-2 Fire Station #104006
352,628,3,29,Airport3389
353,67,2,5,9-2 Mars Hill5159
353,101,1,10,Piney Fire Hall9102
353,125,1,15,12-2 Lucky Community Center9221
353,212,2,11,19 CD Stamps Center1519
353,594,2,20,33-41951
