,NAME,VTD,G16PRERTru_x,G16PREDCli_x,G16PREIDeL_x,G16PRELJoh_x,G16PRESKen_x,G16PREISmi_x,G16PREGSte_x,G16PREOth_x,geometry,county,join_col,County,Precinct,G16PRERTru_y,G16PREDCli_y,G16PREIDeL_y,G16PRELJoh_y,G16PRESKen_y,G16PREISmi_y,G16PREGSte_y,G16PREOth_y,_merge
2586,,,,,,,,,,,,,4-2 Michigan Ave,Bradley,4-2 Michigan Ave,2472.0,472.0,3.0,73.0,4.0,8.0,13.0,6.0,right_only
2587,,,,,,,,,,,,,5-1 Blythe/Bower,Bradley,5-1 Blythe/Bower,1736.0,454.0,5.0,65.0,0.0,2.0,10.0,5.0,right_only
2588,,,,,,,,,,,,,5-2 Museum,Bradley,5-2 Museum,646.0,334.0,0.0,32.0,1.0,7.0,8.0,5.0,right_only
2589,,,,,,,,,,,,,6-1 Valley View,Bradley,6-1 Valley View,1413.0,179.0,5.0,29.0,0.0,2.0,9.0,6.0,right_only
2590,,,,,,,,,,,,,6-2 Blue Springs,Bradley,6-2 Blue Springs,1672.0,270.0,7.0,49.0,2.0,9.0,9.0,5.0,right_only
2591,,,,,,,,,,,,,6-3 Waterville,Bradley,6-3 Waterville,886.0,193.0,0.0,26.0,4.0,3.0,5.0,5.0,right_only
2592,,,,,,,,,,,,,6-4 Black Fox,Bradley,6-4 Black Fox,819.0,123.0,1.0,32.0,1.0,9.0,10.0,0.0,right_only
2593,,,,,,,,,,,,,7-1 Stuart,Bradley,7-1 Stuart,2316.0,820.0,7.0,109.0,4.0,16.0,22.0,14.0,right_only
2594,,,,,,,,,,,,,7-2 Cleveland High,Bradley,7-2 Cleveland High,1471.0,481.0,4.0,69.0,3.0,7.0,14.0,8.0,right_only
2595,,,,,,,,,,,,,1-1 Alder Springs,Campbell,1-1 Alder Springs,345.0,65.0,1.0,6.0,0.0,0.0,2.0,0.0,right_only
2596,,,,,,,,,,,,,1-2 Demory,Campbell,1-2 Demory,507.0,109.0,1.0,13.0,1.0,0.0,6.0,0.0,right_only
2597,,,,,,,,,,,,,1-3 Pinecrest,Campbell,1-3 Pinecrest,205.0,66.0,0.0,5.0,2.0,2.0,0.0,0.0,right_only
2598,,,,,,,,,,,,,1-4 Valley View,Campbell,1-4 Valley View,1019.0,199.0,1.0,18.0,2.0,6.0,4.0,3.0,right_only
2599,,,,,,,,,,,,,1-5 Well Springs,Campbell,1-5 Well Springs,234.0,44.0,0.0,3.0,0.0,0.0,0.0,0.0,right_only
2600,,,,,,,,,,,,,2-1 College Hill,Campbell,2-1 College Hill,209.0,55.0,1.0,5.0,0.0,0.0,2.0,0.0,right_only
2601,,,,,,,,,,,,,2-2 East LaFollette,Campbell,2-2 East LaFollette,542.0,185.0,5.0,13.0,1.0,7.0,8.0,0.0,right_only
2602,,,,,,,,,,,,,2-3 LaFollette ES,Campbell,2-3 LaFollette ES,874.0,190.0,4.0,23.0,0.0,3.0,0.0,3.0,right_only
2603,,,,,,,,,,,,,3-1 CCHS,Campbell,3-1 CCHS,575.0,98.0,1.0,13.0,1.0,3.0,1.0,2.0,right_only
