vest_ID,election_ID
3-2 Centerpoint5169,03-2 Centerpoint
Newcomb0620,5-4 Newcomb
09-2 Viola Valley Comm. Center9215,9-2 Viola
5 Templow8805,05 Templow
Erin City Hall4303,Erin
Memphis 93-38246,Memphis 93-3
6-3 Blue Springs2154,6-3 Blue Springs
4 McLemoresville0810,McLemoresville
7A GCHS Giles County High School2863,7A GCHS
05-2 Middle School4207,5-2 Middle School
Dutch Valley0008,Dutch Valley
Oak Hill7052,Oak Hill 4-2
3-14504,1-Mar
1-14507,1-Jan
08-3 Bonner Church of Christ9213,8-3 Bonner
29-11932,29-1
Forest Hills 38084,Forest Hills 03
Cherokee7455,Cherokee
4-29805,2-Apr
5 Saltillo3718,Saltillo 5-1
05-3 Shady Grove4208,5-3 Shady Grove
30-11936,30-1
Armory5362,5-2 Armory
1 Lavinia0816,Lavinia
3-3 Walnut Grove2655,3-3 Walnut Grove
4-2 Andrew Jackson School5674,4-2 Andrew Jackson
1-2 Grandview7352,1-2 Grandview
22 McKenzie City hall0818,McKenzie
2nd3501,2nd
2-1 Liberty2152,2-1 Liberty
Mt.Crest0309,1-3 Mt. Crest
17 National Guard Armory1517,17 National Guard Armory
Spencer 19104,Spencer 1
19-41893,19-4
1 McNairy6154,McNairy 1-3
Shellmound5763,Shellmound
Burrville 5-26659,5-2 Burrville
Lacy3606,Lacy
Hornsby3609,Hornsby
Meadowview3426,059 Meadowview
McBride5058,McBride 1
7-11831,1-Jul
Spencer 59105,Spencer 5
Conner5059,Conner 2
184877,18 Lincoln Park
601 Lobelville City Hall6956,6-1 Lobelville
2-3 Snows Hill2161,2-3 Snows Hill
5-2 CLOVERDALE6759,5-2 Cloverdale
Luttrell5451,Luttrell
1-5 Sweet Lips1104,1-5 Sweet Lips
Ripley 25054,Ripley 2
5 Lutts9405,5-2 Lutts
39 Currie2778,19-2 Currie
4-14511,1-Apr
11-1 Midway Community Center9218,11-1 Midway
5-24505,2-May
1-31803,3-Jan
37 Good Luck2776,18-2 Good Luck
2-1 Alexander Elementary School5671,2-1 Alexander
Belleville Community Center5364,6-2 Belleville
Highland View0014,Highland View
3 Leapwood6160,Leapwood 3-1
1 Armory3702,Airport 1-1
234859,23 Westview
9-2 Hydro2059,9-2 Hydro
Midway7454,Midway
3-3 Brock Community Center9001,3-2 Brock
Auburntown0706,2-1 Auburntown
Grassy Fork1408,Grassy Fork
Lake City0015,Rocky Top
4-24512,2-Apr
9-21842,2-Sep
501 Perry Co. Courthouse6955,5-1 Linden
3 Celina1305,3 Celina
Highland5959,Highland 2-2
9-15259,1-Sep
Erin Elementary School4305,Erin Elementary
Northwoods 23331,038 Northwoods 2
34-21954,34-2
Memphis 36-18122,Memphis 36-1
7 Buffalo River Fire Dept.9410,7-1 Buffalo River
3rd Decaturville2053,3-2 Decaturville
28-21930,28-2
Lightfoot5060,Lightfoot 5
Grassy Cove1710,6 Grassy Cove
Oakdale 2-36662,2-3 Oakdale
St Elmo 13407,043 St. Elmo 1
26-11922,26-1
3 Southside3713,Southside 3-2
1-21802,2-Jan
5 East View6164,East View 5-2
3 Watterson3819,3 Watterson
5-14506,1-May
5th Parsons2055,5-1 Parsons
5-2 Sewanee2660,5-2 Sewanee
Armory4301,Tennessee Ridge
Hixson 13418,025 Hixson 1
40 Embreeville9304,40 Embreeville
Range0903,Range
Arlington Sr. Citizens Cntr4302,Arlington
7-3 Scotts Hill4009,7-13 Scotts Hill
3 Poteet6856,3-2 Poteet
Houston Co. Middle School4306,Houston Co Middle
Forest Hills 28083,Forest Hills 02
