,unique_ID
2619,Lincoln-1-2 Molino
2620,Lincoln-1-3 Taft
2621,Lincoln-2-1 Boonshill
2622,Lincoln-2-2 Howell
2623,Lincoln-2-3 Petersburg
2624,Lincoln-3-1 Recreation Center
2625,Lincoln-3-2 Liberty
2626,Lincoln-4-1 Maranatha
2627,Lincoln-4-2 FNB
2628,Lincoln-5-1 Calvary
2629,Lincoln-5-2 Armory
2630,Lincoln-6-1 Fayetteville CPC
2631,Lincoln-6-2 Belleville
2632,Lincoln-6-3 Mulberry
2633,Lincoln-7-1 Elora
2634,Lincoln-7-2 Flintville
2635,Lincoln-7-3 Kelso
2636,Lincoln-8-1 Lincoln
2637,Lincoln-8-2 South Lincoln
2638,Loudon-Eaton
2639,Loudon-Tellico V. North
2640,Loudon-Tellico V. South
2641,Macon-Red Boiling Springs
2642,Macon-Willette
2643,Macon-County High School
2644,Macon-County Junior High
2645,Macon-Westside
2646,Macon-Cross Roads
2647,Macon-Armory
2648,Macon-Welcome Center
2649,Macon-Central
2650,Macon-Lafayette
2651,Madison-1-1 Civic Center
2652,Madison-1-2 Mt Moriah
2653,Madison-2-1 Alexander
2654,Madison-2-2 Aldersgate
2655,Madison-2-3 Montessori
2656,Madison-3-1 Board of Education
2657,Madison-3-2 Old Bells Fire Statio
2658,Madison-3-3 MCVS
2659,Madison-4-1 Masonic Lodge
2660,Madison-4-2 Andrew Jackson
2661,Madison-4-3 Festivities
2662,Madison-5-1 JCTS
2663,Madison-5-2 Macedonia
2664,Madison-5-3 North Parkway
2665,Madison-6-1 South Side
2666,Madison-6-2 South
2667,Madison-6-3 Malesus
2668,Madison-6-4 Medon
2669,Madison-7-1 UT Experiment Station
2670,Madison-7-2 TN Tech Ctr
2671,Madison-7-3 Denmark
2672,Madison-7-4 Mercer
2673,Madison-8-1 Beech Bluff
2674,Madison-8-2 Browns
2675,Madison-8-3 Mifflin
2676,Madison-8-4 East Union
2677,Madison-8-5 Lesters
2678,Madison-9-1 VFW
2679,Madison-9-2 Pope
2680,Madison-9-3 Three Way
2681,Madison-10-1 Spring Creek
2682,Madison-10-2 North East
2683,Madison-10-3 North Side
2684,Marion-Haletown-Ladd
2685,Marion-Whitwell Mountain
2686,Marion-Walden's Ridge
2687,Marion-Powells Crossroad
2688,Marshall-1 Chapel Hill
2689,Marshall-2 Henry Horton Park
2690,Marshall-3 Belfast
2691,Marshall-4 Cornersville
2692,Marshall-5 Recreation Center
2693,Marshall-6 Parkview
2694,Marshall-7 Hardison
2695,Marshall-8 Lewisburg Gas
2696,Marshall-9 McKnight Center
2697,Maury-Riverside 1-1
2698,Maury-West End 1-2
2699,Maury-First Family 2-1
2700,Maury-Highland 2-2
2701,Maury-College Hill 3-1
2702,Maury-St. Catherine 4-1
2703,Maury-CP Church 5-1
2704,Maury-Neapolis 5-2
2705,Maury-Santa Fe 6-1
2706,Maury-Spring Hill MS 6-2
2707,Maury-Theta 6-3
2708,Maury-Armory 7-1
2709,Maury-Hampshire 7-2
2710,Maury-Bear Creek 8-1
2711,Maury-Culleoka 8-2
2712,Maury-Bigbyville 9-1
2713,Maury-Pleasant Heights 9-2
2714,Maury-Mt. Pleasant 10-1
2715,Maury-Rally Hill 11-1
2716,Maury-Spring Hill 11-2
2717,Maury-Northfield 11-3
2718,McMinn-City Park
2719,McMinn-Etowah
2720,McMinn-Central
2721,McMinn-Englewood
2722,McMinn-Rogers Creek
2723,McMinn-Riceville
2724,McMinn-Calhoun
2725,McMinn-Niota
2726,McMinn-Ingleside
2727,McMinn-TCAT
2728,McMinn-Courthouse
2729,McMinn-North City
2730,McMinn-Jones Chapel
2731,McMinn-E K Baker
2732,McMinn-Mountain View
2733,McNairy-Bethel Springs 1-1
2734,McNairy-Finger 1-2
2735,McNairy-McNairy 1-3
2736,McNairy-Adamsville 2-1
2737,McNairy-Lawton 2-2
2738,McNairy-Leapwood 3-1
2739,McNairy-Northeast 3-2
2740,McNairy-Purdy 3-3
2741,McNairy-North Selmer 4-1
2742,McNairy-Rose Creek 4-2
2743,McNairy-East View 5-2
2744,McNairy-Guys 5-3
2745,McNairy-Ramer 5-4
2746,McNairy-Courthouse SE 6-1
2747,McNairy-Michie 7-1
2748,McNairy-Stantonville 7-2
2749,Meigs-3-1 City Hall
2750,Meigs-3-2 Courthouse
2751,Monroe-01
2752,Monroe-02
2753,Monroe-03
2754,Monroe-04
2755,Monroe-05
2756,Monroe-06
2757,Monroe-07
2758,Monroe-08
2759,Monroe-09
2760,Monroe-10
2761,Monroe-11
2762,Monroe-12
2763,Monroe-14
2764,Montgomery-1A St B ES
2765,Montgomery-1B Emmanuel
2766,Montgomery-2A St B MC
2767,Montgomery-2B St B CC
2768,Montgomery-3 East Montgomery
2769,Montgomery-4A MCMS
2770,Montgomery-4B WR Event Center
2771,Montgomery-5A Smith
2772,Montgomery-5B Madison
2773,Montgomery-6A Cumberland
2774,Montgomery-6B Bethel
2775,Montgomery-7 Woodlawn
2776,Montgomery-8A Bethel
2777,Montgomery-8B Barkers Mill
2778,Montgomery-9 Outlaw
2779,Montgomery-10 Minglewood
2780,Montgomery-11 Northwest
2781,Montgomery-12 Ringgold
2782,Montgomery-13 Byrns Darden
2783,Montgomery-14 Glenellen
2784,Montgomery-15 Sango
2785,Montgomery-16 New Providence
2786,Montgomery-17 Grace
2787,Montgomery-18 Hazelwood
2788,Montgomery-19 Oakland
2789,Montgomery-20A Clarksville
2790,Montgomery-20B Barksdale
2791,Montgomery-21A Cumberland
2792,Montgomery-21B Hilldale
2793,Moore-2 High School
2794,Moore-3 Moore County Bldg
2795,Morgan-1-1 Coalfield
2796,Morgan-2-1 Oakdale High
2797,Morgan-2-2 Oakdale
2798,Morgan-3-1 Wartburg
2799,Morgan-4-1 Lancing
2800,Morgan-4-2 Deer Lodge
2801,Morgan-4-3 Chestnut Ridge
2802,Morgan-5-1 Sunbright
2803,Morgan-5-2 Burrville
2804,Morgan-6-1 Kellys
2805,Morgan-6-2 Petros
2806,Morgan-6-3 Mossy Grove
2807,Obion-2-1 Eddie Cox Sr Ctr
2808,Obion-6-1 Troy Sr Ctr
2809,Obion-6-2 Obion Sr Ctr
2810,Obion-7-2 Obion Co Library
