,COUNTY,NAME
1951,30,South Greene
1953,30,Chuckey
1955,30,McDonald
1943,30,Glenwood
1944,30,Middle School
1904,30,West Pines
408,31,Collins
385,31,Coalmont
384,31,Palmer
383,31,Central
411,31,Tracy
410,31,Monteagle
1559,31,Pelham
1558,31,Beersheba
409,31,Gruetli
1557,31,Altamont
435,32,4-1
436,32,1-1
455,32,14-1
413,32,11-1
454,32,13-1
451,32,10-1
452,32,10-2
450,32,9-2
449,32,9-1
448,32,8-1
447,32,7-1
453,32,12-1
445,32,5-1
446,32,6-1
443,32,2-1
444,32,3-1
412,32,11-2
1684,33,Harrison 5
1685,33,Harrison 4
1686,33,Collegedale 3
1683,33,Snowhill 1
1682,33,Meadowview
1617,33,East Lake
1681,33,Summit 3
1618,33,Eastside 1
1688,33,Harrison 1
1823,33,Lookout Valley 2
1822,33,Valdeau 2
1819,33,Mountain Creek 2
1816,33,Apison 1
1815,33,Snowhill 2
1814,33,Ooltewah 6
1813,33,Ooltewah 5
1812,33,Ooltewah 4
1810,33,Birchwood
1809,33,Sale Creek
1704,33,Lookout Mountain
1703,33,St Elmo 1
1701,33,Signal Mountain 2
1700,33,Walden
1699,33,Valdeau 1
1698,33,Harrison 2
1697,33,Harrison 7
1696,33,Harrison 3
1695,33,Northwoods 3
1694,33,Tyner 3
1693,33,Summit 2
1692,33,Downtown 3
1691,33,Murray Hills 2
1690,33,Alton Park 3
1689,33,Harrison 6
1687,33,Collegedale 4
1679,33,Collegedale 2
1680,33,Ooltewah 3
1677,33,Apison 2
1641,33,East Ridge 3
1642,33,Brainerd
1643,33,East Ridge 4
1644,33,Brainerd Hills
1645,33,Concord 1
1646,33,Concord 2
1647,33,Concord 3
1648,33,Concord 5
1649,33,Glenwood
1604,33,Lookout Valley 1
1603,33,Mountain Creek 3
1602,33,Stuart Heights
1650,33,Eastdale
1651,33,Ridgeside
1652,33,Eastgate 1
1653,33,Eastgate 2
1654,33,Woodmore 1
1655,33,Woodmore 2
1656,33,Airport
1657,33,East Chattanooga 2
1658,33,Dalewood
1659,33,Kingspoint 1
