,County,Precinct,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREISMI,G16PREIKEN,G16PREIFUE,G16PREOWRI,COUNTYFP
146,Carroll,Huntingdon,836,230.0,19.0,2.0,5.0,2.0,3.0,3.0,017
147,Carroll,Buena Vista,115,28.0,1.0,0.0,0.0,0.0,1.0,0.0,017
148,Carroll,Bruceton,438,142.0,11.0,2.0,0.0,1.0,1.0,0.0,017
149,Carroll,Hollow Rock,327,107.0,6.0,3.0,0.0,1.0,0.0,0.0,017
150,Carroll,Vale,90,18.0,5.0,1.0,0.0,0.0,0.0,0.0,017
151,Carroll,Atwood,442,194.0,8.0,4.0,1.0,1.0,2.0,1.0,017
152,Carroll,Senior Citizens,475,245.0,9.0,5.0,1.0,1.0,2.0,3.0,017
153,Carroll,Cannon,244,60.0,2.0,0.0,1.0,1.0,3.0,2.0,017
154,Carroll,Concord,210,89.0,4.0,2.0,2.0,0.0,1.0,0.0,017
155,Carroll,Westport,115,23.0,1.0,0.0,0.0,0.0,0.0,0.0,017
156,Carroll,Bethel College,807,208.0,25.0,3.0,2.0,1.0,2.0,6.0,017
157,Carroll,McKenzie,284,106.0,5.0,2.0,0.0,0.0,0.0,0.0,017
158,Carter,Hunter,1426,199.0,18.0,6.0,7.0,0.0,2.0,1.0,019
159,Carter,Midway,480,39.0,6.0,1.0,0.0,0.0,0.0,0.0,019
160,Carter,Unaka,691,134.0,12.0,7.0,4.0,0.0,1.0,1.0,019
161,Carter,Roan Mountain,1225,151.0,13.0,5.0,1.0,1.0,4.0,4.0,019
162,Carter,Tiger Valley,1043,142.0,18.0,5.0,3.0,1.0,1.0,0.0,019
163,Carter,Central,986,206.0,21.0,10.0,3.0,0.0,2.0,2.0,019
164,Carter,Keenburg,666,139.0,17.0,2.0,0.0,0.0,0.0,5.0,019
165,Carter,Range,314,66.0,11.0,2.0,0.0,1.0,1.0,4.0,019
166,Carter,Watauga,190,39.0,6.0,2.0,0.0,0.0,1.0,1.0,019
167,Carter,Courthouse,905,179.0,19.0,10.0,3.0,0.0,3.0,2.0,019
168,Carter,Eastside,712,146.0,16.0,5.0,4.0,1.0,1.0,1.0,019
169,Carter,National Guard,74,17.0,2.0,0.0,0.0,0.0,1.0,0.0,019
170,Carter,Siam,442,73.0,9.0,3.0,0.0,0.0,1.0,2.0,019
171,Carter,Happy Valley,1778,577.0,91.0,25.0,13.0,7.0,1.0,17.0,019
172,Carter,Elk Mills,138,24.0,1.0,0.0,0.0,0.0,1.0,0.0,019
173,Carter,Hampton,641,73.0,9.0,4.0,0.0,1.0,1.0,1.0,019
174,Carter,Little Milligan,230,38.0,3.0,1.0,0.0,0.0,0.0,0.0,019
175,Carter,Valley Forge,989,161.0,17.0,4.0,7.0,2.0,2.0,2.0,019
176,Carter,Gap Creek,1254,218.0,28.0,4.0,4.0,2.0,1.0,3.0,019
177,Carter,Westside,1139,293.0,26.0,10.0,3.0,0.0,1.0,5.0,019
178,Carter,Harold McCormick,535,219.0,24.0,7.0,0.0,3.0,1.0,3.0,019
179,Carter,High School,1040,320.0,42.0,17.0,2.0,1.0,4.0,4.0,019
180,Carter,Early Voting - Write-Ins,0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,019
181,Cheatham,1-1 County Library,1444,670.0,80.0,11.0,12.0,1.0,4.0,15.0,021
182,Cheatham,2-2 East Cheatham,1987,524.0,61.0,10.0,7.0,1.0,6.0,16.0,021
183,Cheatham,3-1 Pleasant View,2138,542.0,98.0,13.0,9.0,0.0,2.0,9.0,021
184,Cheatham,4-1 West Cheatham,1134,307.0,41.0,7.0,7.0,1.0,2.0,4.0,021
185,Cheatham,4-3 Sycamore,848,230.0,32.0,6.0,0.0,1.0,2.0,1.0,021
186,Cheatham,5-1 Greenbrier,526,148.0,8.0,8.0,0.0,1.0,2.0,1.0,021
187,Cheatham,5-2 Pegram,1281,552.0,57.0,16.0,7.0,4.0,4.0,11.0,021
188,Cheatham,6-1 Harpeth,1939,905.0,86.0,28.0,8.0,4.0,4.0,41.0,021
189,Chester,1-2 Enville,380,82.0,7.0,0.0,1.0,0.0,0.0,0.0,023
190,Chester,1-5 Sweet Lips,296,65.0,6.0,2.0,0.0,0.0,0.0,4.0,023
191,Chester,1-6 Harmony,208,52.0,9.0,0.0,1.0,1.0,1.0,0.0,023
192,Chester,2-1 Jacks Creek,372,66.0,5.0,1.0,0.0,0.0,0.0,3.0,023
193,Chester,2-2 Friendship,657,107.0,6.0,2.0,1.0,1.0,0.0,1.0,023
194,Chester,3-2 Montezuma,559,93.0,12.0,0.0,1.0,0.0,0.0,4.0,023
195,Chester,3-4 Masseyville,196,35.0,4.0,0.0,1.0,0.0,0.0,0.0,023
196,Chester,3-6 Deanburg,223,26.0,3.0,0.0,1.0,2.0,0.0,3.0,023
197,Chester,4-1 West Chester,512,66.0,8.0,2.0,1.0,0.0,2.0,2.0,023
198,Chester,4-1 West Chester - City,589,152.0,19.0,2.0,3.0,0.0,2.0,9.0,023
199,Chester,5-1 East Chester,381,81.0,8.0,1.0,0.0,0.0,0.0,0.0,023
200,Chester,5-1 East Chester - City,325,249.0,16.0,0.0,0.0,0.0,0.0,5.0,023
201,Chester,6-1 City Hall,383,169.0,12.0,0.0,2.0,0.0,0.0,6.0,023
202,Claiborne,1-1 Tazewell,1153,330.0,20.0,5.0,3.0,3.0,1.0,1.0,025
203,Claiborne,2-1 Clouds,688,94.0,12.0,2.0,2.0,1.0,1.0,3.0,025
204,Claiborne,2-2 Goin,361,68.0,9.0,0.0,0.0,0.0,2.0,0.0,025
205,Claiborne,2-3 Sandlick,381,77.0,10.0,0.0,0.0,0.0,0.0,0.0,025
206,Claiborne,3-1 Lone Mountain,256,50.0,11.0,1.0,5.0,0.0,0.0,1.0,025
207,Claiborne,3-2 New Tazewell,940,229.0,31.0,5.0,2.0,4.0,4.0,0.0,025
208,Claiborne,4-1 Gibson Hall,72,27.0,0.0,0.0,1.0,1.0,0.0,0.0,025
209,Claiborne,4-2 Howard's Quarter,155,16.0,1.0,0.0,0.0,0.0,0.0,0.0,025
210,Claiborne,4-3 Liberty,110,17.0,4.0,0.0,0.0,1.0,0.0,0.0,025
211,Claiborne,4-4 Springdale,571,109.0,14.0,2.0,0.0,1.0,2.0,2.0,025
212,Claiborne,5-1 Big Spring Union,484,72.0,9.0,1.0,2.0,0.0,0.0,0.0,025
213,Claiborne,6-1 Harrogate,1116,242.0,24.0,4.0,4.0,8.0,1.0,6.0,025
214,Claiborne,7-1 Arthur,1128,247.0,26.0,9.0,1.0,2.0,3.0,1.0,025
215,Claiborne,7-2 Cumberland Gap,98,41.0,5.0,0.0,0.0,0.0,0.0,2.0,025
216,Claiborne,8-1 Rogers Mill,448,60.0,5.0,0.0,2.0,1.0,1.0,0.0,025
217,Claiborne,8-2 Vanbebber Sprngs,500,105.0,10.0,0.0,5.0,1.0,1.0,2.0,025
218,Claiborne,9-1 Clairfield,141,48.0,1.0,0.0,0.0,1.0,0.0,0.0,025
219,Clay,1 Dentons Cross Road,478,100.0,5.0,2.0,3.0,0.0,0.0,0.0,027
220,Clay,2 Hermitage Springs,429,89.0,14.0,3.0,1.0,0.0,0.0,0.0,027
221,Clay,3 Celina,305,220.0,4.0,4.0,3.0,1.0,0.0,0.0,027
222,Clay,4-1 Maple Grove,185,42.0,1.0,0.0,0.0,0.0,0.0,0.0,027
223,Clay,4-2 Butlers Landing,327,96.0,12.0,1.0,1.0,0.0,2.0,0.0,027
224,Clay,5-1 Beech Bethany,220,77.0,5.0,1.0,1.0,0.0,0.0,0.0,027
225,Clay,5-2 Pea Ridge,197,83.0,6.0,0.0,1.0,1.0,0.0,0.0,027
226,Cocke,Del Rio,466,84.0,10.0,2.0,1.0,2.0,0.0,0.0,029
227,Cocke,Grassy Fork,303,60.0,3.0,6.0,1.0,2.0,0.0,0.0,029
228,Cocke,Edwina,907,133.0,14.0,6.0,7.0,1.0,1.0,4.0,029
229,Cocke,Bridgeport,397,71.0,10.0,0.0,0.0,1.0,1.0,0.0,029
230,Cocke,Long Creek,428,77.0,11.0,1.0,2.0,0.0,1.0,1.0,029
231,Cocke,Houston Valley,51,9.0,1.0,0.0,0.0,0.0,0.0,0.0,029
232,Cocke,Parrottsville,739,141.0,15.0,1.0,1.0,3.0,1.0,0.0,029
233,Cocke,Centerview,886,122.0,12.0,2.0,1.0,0.0,2.0,0.0,029
234,Cocke,Forest Hill,503,81.0,6.0,3.0,1.0,1.0,3.0,0.0,029
235,Cocke,Rankin,193,34.0,3.0,0.0,0.0,0.0,2.0,0.0,029
236,Cocke,Armory,419,93.0,7.0,4.0,0.0,1.0,2.0,2.0,029
