,NAME
654,1st Dandridge Elementary School
655,8-1 Old Chestnut Hill School
656,5 Doe Valley
657,1B Cold Springs
658,3B Neva
659,2 Forge/Shouns
660,4B Butler
661,3A Trade
662,6 Shady
663,1A Laurel
664,4A Dry Run
665,50-S
666,09
667,10-N
668,19-1
669,19-2
670,19-3
671,19-4
672,7 City
673,10-W
674,48
675,12
676,15
677,30
678,19-5
679,19-6
680,2-1
681,24-5
682,39
683,41
684,40
685,80
686,85
687,86
688,82
689,87
690,76
691,78
692,79
693,77
694,31
695,13
696,24-6
697,25-1
698,25-2
699,19-E
700,92
701,93
702,90
703,27
704,89
705,25
706,29
707,71
708,69-S
709,06
710,20
711,25-3
712,25-4
713,26-1
714,10-S
715,42
716,43
717,15-2
718,15-3
719,15-4
720,15-5
721,26-2
722,26-3
723,26-4
724,50-N
725,24-Q
726,16-1
727,16-2
728,16-3
729,16-4
730,27-1
731,27-2
732,27-3
733,5th
734,3rd
735,2nd
736,49
737,51
738,16-5
739,17-1
740,17-2
741,17-3
742,17-4
743,22-2
744,22-3
745,22-4
746,4th
747,6th
748,7th
749,1st
750,Middleton
751,Toone
752,Whiteville
753,Saulsbury
754,Dixie Hills
755,Silerton
756,West Bolivar
757,Hornsby
758,Grand Junction
759,Bolivar
760,Hickory Valley
761,Pocahontas
762,Lacy
763,8 North
764,2 Nixon
765,9 Courthouse
766,7 Walnut Grove
767,6 Rhodes
768,4 Crump
769,5 Morris Chapel
770,47
771,46
772,65-W
773,62
774,64
775,70-W
776,67
777,45
778,63
779,63-N
780,17-5
781,17-6
782,17-7
783,12-4
784,23-1
785,23-2
786,5 Saltillo
787,1 Olivet
788,10 Fairground
789,3 Counce
790,4 Shiloh
791,7 Whites
792,3 Southside
793,2 Walkers
794,1 Armory
795,6 Olive Hill
796,6 Cerro Gordo
797,1 Allandale Inside
798,1 Allandale Outside
799,1 Mount Carmel
800,2 Church Hill Inside
801,2 Church Hill Outside
802,2 McPheeter's Bend
803,3 Carter's Valley
804,3 Wallace
805,3 Watterson
806,4 Dykes
807,4 Kepler
808,4 Rogersville North Outside
809,69-N
810,66-S
811,12-5
812,13-1
813,13-2
814,23-3
815,23-4
816,23-5
817,4 Surgoinsville Outside
818,4 Upper Beech
819,5 Rogersville North Inside
820,5 Rogersville South Inside
821,5 Rogersville South Outside
822,6 Alumwell
823,6 Choptack
824,6 Clinch
825,4 Surgoinsville Inside
826,6 Mooresburg
827,65-N
828,68
829,13-3
830,13-4
831,14-1
832,24-1
833,24-2
834,24-3
835,24-4
836,7 Bulls Gap Inside
837,7 Bulls Gap Outside
838,7 St. Clair
839,7 Cherokee
840,10 Haywood Junior High
841,07 Delta Heritage Center
842,03 Jefferson Court Community Building
843,02 Parks & Recreation Dept
844,04 Chamber Basement
845,09B West Side Church of Christ
846,06 Wyatt-Duke National Guard Armory
847,05 Tibbs Fire Station
848,09A Stanton City Hall
849,68-E
850,55
851,14-2
852,14-3
853,14-4
854,14-5
855,28-1
856,28-2
857,01 Christ Temple Apostolic Church
858,08 Douglas Community Center
859,1-1 Bargerton
860,1-2 Beaver
861,6-1 Broad Street
862,5-1 TN Technology Center
863,2-1 Westover
864,3-2 Fire Station #10
865,3-4 Pin Oak Fire Station #4
866,3-3 Darden
867,7-3 Scotts Hill
868,7-2 Reagan
869,4-1 Civic Center
870,3-1 Christian Chapel
871,2-2 South Haven
872,44
873,66-N
874,84
875,26
876,57
877,60
878,81
879,18
880,15-1
881,18-1
882,18-2
883,18-3
884,3-3
885,7-1 Middleburg
886,7-4 Sardis
887,2-3 Oakland
888,1-1 Puryear
889,2-2 Mansfield
890,3-3 Jones Chapel
891,4-2 City Hall
892,5-1 HC High School
893,1-2 Cottage Grove
894,1-3 Buchanan
895,2-1 Henry
896,3-1 Russwood
897,02-2 Fairfield
898,05-3 Shady Grove
899,04-1 Lake Benson Camp
900,01-1 Nunnelly
901,07-3 Brushy
902,05-2 Middle School
903,37
904,36
905,35
906,18-4
907,18-5
908,2-2
909,2-3
910,5-2 Vo-Tech
911,4-1 Grove
912,34
913,16
914,4-3 Oakland Middle School
915,4-2 North Boulevard Church of Christ
916,17-2 Kingwood Heights Church of Christ
917,Greenback
918,Glendale
919,Highland Park
920,Loudon Mt Zion
921,Lenoir City
922,Lenoir City Outside
923,Browder
924,Eatons
925,Riverside
926,Bigbyville
927,Culleoka
928,Spring Hill Middle
929,04 Englewood School
930,11 McMinn Courthouse
931,08 Niota School
932,601 Lobelville City Hall
933,401 Brush Creek
934,101 Cedar Creek
935,302 Flatwoods
936,High School
937,Oak Hill
938,Chanute
939,Community Center
940,Travisville
941,Moodyville
942,Bolestown
943,Boom
944,15-2 Northfield Elementary School
945,16-2 Mitchell-Neilson Primary School
946,17-1 North Boulevard Church of Christ
947,17-3 Wesley Foundation
948,Tellico Village South
949,Tellico Village North
950,Red Boiling Springs High School
951,12 North City School
952,09 Ingleside School
953,10 Tennessee College of Applied Technology
954,06 Riceville School
955,05 Rogers Creek School
956,14 EK Baker School
957,01 City Park School
958,15 Mountain View School
959,07 Calhoun School
960,02 Etowah Community Center
961,03 Central High School
962,Barnes Ridge
963,3A Cooper Basin High School
964,2 Greasy Creek Comm. Club
965,1B Chilhowee Middle Sch. Gym
966,1 Delano Lions Club
