,Precinct
1102,14-1 Crawfish Valley
1103,15-1 David Crockett
1104,16-1 Rotary Park
1105,17-1 Sowell
1106,18-1 E. O. Coffman
1107,1-1
1108,2-1
1109,3-1
1110,4-1
1111,5-1
1112,6-1
1113,7-1
1114,8-1
1115,9-1
1116,1-1 Blanche
1117,1-2 Molino
1118,1-3 Taft
1119,2-1 Boonshill
1120,2-2 Howell
1121,2-3 Petersburg
1122,3-1 Recreation Center
1123,3-2 Liberty
1124,4-1 Maranatha
1125,4-2 FNB
1126,5-1 Calvary
1127,5-2 Armory
1128,6-1 Fayetteville CPC
1129,6-2 Belleville
1130,6-3 Mulberry
1131,7-1 Elora
1132,7-2 Flintville
1133,7-3 Kelso
1134,8-1 Lincoln
1135,8-2 South Lincoln
1136,Loudon Mt Zion
1137,Loudon
1138,Loudon Outside
1139,Lenoir City
1140,Lenoir City Outside
1141,Greenback
1142,Glendale
1143,Davis
1144,Luttrell
1145,Philadelphia
1146,Browder
1147,Eaton
1148,Highland Park
1149,Tellico V. North
1150,Tellico V. South
1151,Red Boiling Springs
1152,Willette
1153,County High School
1154,County Junior High
1155,Westside
1156,Cross Roads
1157,Armory
1158,Welcome Center
1159,Central
1160,Lafayette
1161,Early Voting - Write-Ins
1162,1-1 Civic Center
1163,1-2 Mt Moriah
1164,2-1 Alexander
1165,2-2 Aldersgate
1166,2-3 Montessori
1167,3-1 Board of Educ
1168,3-2 Old Bells Rd #10
1169,3-3 J-CIL
1170,4-1 Masonic Lodge
1171,4-2 Andrew Jackson
1172,4-3 Festivities
1173,5-1 Whitehall
1174,5-2 Macedonia
1175,5-3 North Parkway
1176,6-1 South Side
1177,6-2 South
1178,6-3 Malesus
1179,6-4 Medon
1180,7-1 UT Experiment
1181,7-2 TN Tech Ctr
1182,7-3 Denmark
1183,7-4 Mercer
1184,8-1 Beech Bluff
1185,8-2 Browns
1186,8-3 Mifflin
1187,8-4 East Union
1188,8-5 Lesters
1189,9-1 VFW
1190,9-2 Pope
1191,9-3 Three Way
1192,10-1 Spring Creek
1193,10-2 North East
1194,10-3 North Side
1195,South Pittsburg
1196,New Hope
1197,Orme
1198,Lodge
1199,Monteagle
1200,Kimball
1201,Shellmound
1202,Haletown-Ladd
1203,Jasper
1204,Foster Falls
1205,Whitwell Mountain
1206,Sequatchie
1207,Walden's Ridge
1208,Elder Mountain
1209,River Canyon
1210,Whitwell
1211,Powells Crossroad
1212,1 Chapel Hill
1213,2 Henry Horton Park
1214,3 Belfast
1215,4 Cornersville
1216,5 Recreation Center
1217,6 Parkview
1218,7 Hardison
1219,8 Lewisburg Gas
1220,9 McKnight Center
1221,Early Voting - Write-Ins
1222,Riverside 1-1
1223,West End 1-2
1224,First Family 2-1
1225,Highland 2-2
1226,College Hill 3-1
1227,St. Catherine 4-1
1228,CP Church 5-1
1229,Neapolis 5-2
1230,Santa Fe 6-1
1231,Spring Hill MS 6-2
1232,Theta 6-3
1233,Armory 7-1
1234,Hampshire 7-2
1235,Bear Creek 8-1
1236,Culleoka 8-2
1237,Bigbyville 9-1
1238,Pleasant Heights 9-2
1239,Mt. Pleasant 10-1
1240,Rally Hill 11-1
1241,Spring Hill 11-2
1242,City Park
1243,Etowah
1244,Central
1245,Englewood
1246,Rogers Creek
1247,Riceville
1248,Calhoun
1249,Niota
1250,Ingleside
1251,TCAT
1252,Courthouse
1253,North City
1254,Jones Chapel
1255,E K Baker
1256,Mountain View
1257,Bethel Springs 1-1
1258,Finger 1-2
1259,McNairy 1-3
1260,Adamsville 2-1
1261,Lawton 2-2
1262,Leapwood 3-1
1263,Northeast 3-2
1264,Purdy 3-3
1265,North Selmer 4-1
1266,Rose Creek 4-2
1267,Cypress 5-1
1268,East View 5-2
1269,Guys 5-3
1270,Ramer 5-4
1271,Courthouse SE 6-1
1272,Michie 7-1
1273,Stantonville 7-2
1274,1 Eastview
1275,2 Meigs South
1276,3-1 City Hall
1277,3-2 Courthouse
1278,4 Meigs North
1279,5 Ten Mile
1280,01
1281,02
1282,03
1283,04
1284,05
1285,06
1286,07
1287,08
1288,09
1289,10
1290,11
1291,12
1292,14
1293,1A St B ES
1294,1B Emmanuel
1295,2A St B MC
1296,2B St B CC
1297,3 East Montgomery
1298,4A MCMS
1299,4B WR Event Center
1300,5A Smith
1301,5B Madison
1302,6A Cumberland
1303,6B Bethel
1304,7 Woodlawn
1305,8A Bethel
1306,8B Barkers Mill
1307,9 Outlaw
1308,10 Minglewood
1309,11 Northwest
1310,12 Ringgold
1311,13 Byrns Darden
1312,14 Glenellen
1313,15 Sango
1314,16 New Providence
1315,17 Grace
1316,18 Hazelwood
1317,19 Oakland
1318,20A Clarksville
1319,20B Barksdale
1320,21A Cumberland
1321,21B Hilldale
1322,Early Voting - Write-Ins
1323,1 Courthouse
1324,2 High School
1325,3 Moore County Bldg
1326,4 Lynchburg
1327,5 Motlow College
1328,1-1 Coalfield
1329,2-1 Oakdale High
1330,2-2 Mossy Grove
1331,2-3 Oakdale
1332,3-1 Wartburg
1333,4-1 Lancing
1334,4-2 Deer Lodge
1335,4-3 Chestnut Ridge
1336,5-1 Sunbright
1337,5-2 Burrville
1338,6-1 Kellys
1339,6-2 Petros
1340,1-1 South Fulton
1341,2-1 Eddie Cox Sr Ctr
1342,2-4 Woodland
1343,3-2 Kenton
1344,3-4 Rives
1345,4-1 Fair Grounds
1346,5-2 Cloverdale
1347,5-4 Hornbeak
1348,5-5 Samburg
1349,6-1 Troy Sr Ctr
1350,6-2 Obion Sr Ctr
1351,7-2 Obion Co Library
1352,1 Livingston
1353,2-1 Allons
1354,2-3 Monroe
1355,3-2 Poteet
1356,3-3 Wilson
1357,3-4 Rushing Springs
1358,4-2 Rickman
1359,5-1 Hilham
1360,5-2 Fairgrounds
1361,Early Voting - Write-Ins
1362,1-1 Cedar Creek
1363,1-2 Marsh Creek
1364,2-1 Pineview
1365,2-2 Pope
1366,3-1 Coon Creek
1367,3-2 Flatwoods
1368,4-1 Brush Creek
1369,4-3 Lobelville
1370,5-1 Linden
1371,6-1 Lobelville
1372,Community Center 1-1
1373,Moodyville 1-2
1374,High School 2-1
1375,Chanute 3-1
1376,Travisville 3-2
1377,Boom 4-1
1378,Oak Hill 4-2
1379,Barnes Ridge 4-3
1380,Bolestown 4-4
1381,1 Delano
1382,1A Polk Co High
